artist_name,artist_url,works,work_urls,category
Big Bang (1973),https://ubu.com/ubu/sarduy_big_bang.html,Download PDF,https://ubu.com/ubu/pdf/sarduy_big_bang.pdf,/ubu Editions
Vérité,https://ubu.com/ubu/scharf_verite.html,Download PDF,https://ubu.com/ubu/pdf/scharf_verite.pdf,/ubu Editions
Low-Level Bureaucratic Structures / Principles of the Emeryville Shellmound,https://ubu.com/ubu/shaw_low.html,Download PDF,https://ubu.com/ubu/pdf/shaw_low.pdf,/ubu Editions
The Chinese Notebook,https://ubu.com/ubu/silliman_chinese.html,Download PDF,https://ubu.com/ubu/pdf/silliman_chinese.pdf,/ubu Editions
2197,https://ubu.com/ubu/silliman_2197.html,Download PDF (1.8 mb),https://ubu.com/ubu/pdf/silliman_2197.pdf,/ubu Editions
Sunset Debris,https://ubu.com/ubu/silliman_sunset.html,Download PDF,https://ubu.com/ubu/pdf/silliman_sunset.pdf,/ubu Editions
Properties of Several Geometric or Non-Geometric Figures (1971),https://ubu.com/ubu/simon_properties.html,Download PDF,https://ubu.com/ubu/pdf/simon_properties.pdf,/ubu Editions
Response,https://ubu.com/ubu/spahr_response.html,Download PDF,https://ubu.com/ubu/pdf/spahr_response.pdf,/ubu Editions
Shorter American Memory (1988),https://ubu.com/ubu/waldrop_shorter.html,Download PDF,https://ubu.com/ubu/pdf/waldrop_shorter.pdf,/ubu Editions
Little Books / Indians,https://ubu.com/ubu/weiner_indians.html,Download PDF,https://ubu.com/ubu/pdf/weiner_indians.pdf,/ubu Editions
The Lesser Magoo,https://ubu.com/ubu/wellman_magoo.html,Download PDF,https://ubu.com/ubu/pdf/wellman_magoo.pdf,/ubu Editions
The Tapeworm Foundry,https://ubu.com/ubu/wershler_tapeworm.html,Download PDF,https://ubu.com/ubu/pdf/wershler_tapeworm.pdf,/ubu Editions
A Letter For Queen Victoria: An Opera (1974),https://ubu.com/ubu/wilson_opera.html,"Download PDF, The Sundance Kid Was Beautiful, Giorno Poetry Systems - Big Ego","https://ubu.com/ubu/pdf/wilson_opera.pdf, https://ubu.com/media/sound/dial_a_poem_poets/big_ego/Big_Ego_05-wilson.mp3, https://ubu.com/sound/big_ego.html",/ubu Editions
