category,search_term,title,identifier,url,mediatype,confidence_score,creator,publisher,page_count
film_and_cinema,Roman Polanski,Polanski : his life and films,polanskihislifef0000leam,https://archive.org/details/polanskihislifef0000leam,texts,70,"Leaming, Barbara",London : Hamilton,190
film_and_cinema,Roman Polanski,Il fantasma e la fanciulla : tre film di Roman Polanski,ilfantasmaelafan0000scan,https://archive.org/details/ilfantasmaelafan0000scan,texts,70,"Scandola, Alberto",Caselle di Sommacampagna (VR) : Cierre,126
literature,Bret Easton Ellis,Bret Easton Ellis's American Psycho : a reader's guide,breteastonelliss0000murp,https://archive.org/details/breteastonelliss0000murp,texts,70,"Murphet, Julian",New York : Continuum,102
literature,Bret Easton Ellis,suite(s) impériale(s),suitesimpriales0000bret,https://archive.org/details/suitesimpriales0000bret,texts,70,Bret Easton Ellis,43374,198
literature,Bret Easton Ellis,Bret Easton Ellis Rewrites Babysitters Club,bret-easton-ellis-babysitters-club,https://archive.org/details/bret-easton-ellis-babysitters-club,texts,70,,,
literature,Bret Easton Ellis,Unter Null Roman,unternullroman0000elli,https://archive.org/details/unternullroman0000elli,texts,70,"Ellis, Bret Easton 1964- Verfasser",Reinbek bei Hamburg Rowohlt,198
literature,Charles Bukowski,Pig In A Pamphlet 12,PigInAPamphlet12,https://archive.org/details/PigInAPamphlet12,texts,70,Charles Bukowski,,
literature,Charles Bukowski,The continual condition,continualconditi00buko,https://archive.org/details/continualconditi00buko,texts,70,Charles Bukowski,Ecco,154
literature,Charles Bukowski,Charles Bukowski Obituary,CharlesBukowskiObituary,https://archive.org/details/CharlesBukowskiObituary,texts,70,Myrna Oliver,,
literature,Charles Bukowski,The captain is out to lunch and the sailors have taken over the ship,captainisouttolu0000buko,https://archive.org/details/captainisouttolu0000buko,texts,70,"Bukowski, Charles",Santa Rosa : Black Sparrow Press,158
literature,Charles Bukowski,Mocking Bird Wish Me Luck,mockingbirdwishm0000char,https://archive.org/details/mockingbirdwishm0000char,texts,70,Charles Bukowski,,170
literature,Marquis de Sade,"The persecution and assassination of Marat, as performed by the inmates of the Asylum of Charenton under the direction of the Marquis de Sade /Peter Weiss ; English version by Geoffrey Skelton ; verse adaptation by Adrian Mitchell ; introduction by Peter Brook.. --",persecutionassas00weis_0,https://archive.org/details/persecutionassas00weis_0,texts,70,"Weiss, Peter, 1916-1982","London : Marion Boyars, 1978",134
figures,John Wayne Gacy,John Wayne Gacy,JohnWayneGacy,https://archive.org/details/JohnWayneGacy,texts,70,Federal Bureau of Investigation,,
figures,John Wayne Gacy,A Question Of Doubt By John Wayne Gacy,john-wayne-gacy-a-question-of-doubt-the-john-wayne-gacy-story-craig-bowley-consultants-1995,https://archive.org/details/john-wayne-gacy-a-question-of-doubt-the-john-wayne-gacy-story-craig-bowley-consultants-1995,texts,70,,,
figures,John Wayne Gacy,"""Psycho Killers # 8 John Wayne Gacy, The Killer Clown""",psycho-killers-8-john-wayne-gacy-the-killer-clown,https://archive.org/details/psycho-killers-8-john-wayne-gacy-the-killer-clown,texts,70,,,
figures,John Wayne Gacy,John Wayne Gacy Witness List Original,gacy-st.-witness.-list.-04.25.79,https://archive.org/details/gacy-st.-witness.-list.-04.25.79,texts,70,,,
figures,Bob Flanagan,"""Bob Flanagan - Supermasochist"" By Bob Flanagan, Andrea Juno, V. Vale",bob-flanagan-supermasochist-by-bob-flanagan-andrea-juno-v.-vale.org,https://archive.org/details/bob-flanagan-supermasochist-by-bob-flanagan-andrea-juno-v.-vale.org,texts,70,,,
