"category","search_term","title","identifier","url","mediatype","confidence_score","creator","publisher","page_count"
"literature","Marquis de Sade","The Marquis de Sade : the complete Justine, Philosophy in the bedroom, and other writings","marquisdesadecom00saderich","https://archive.org/details/marquisdesadecom00saderich","texts","93","Sade, marquis de, 1740-1814, Seaver, Richard, Wainhouse, Austryn","New York : Grove Press","776"
"visual_art_and_artists","Bauhaus","Artists and Revolution : Dada and the Bauhaus, 1917-1925","artistsrevolutio0000gree","https://archive.org/details/artistsrevolutio0000gree","texts","92","Allan C. Greenberg","UMI Research Press","314"
"visual_art_and_artists","Frank Lloyd Wright","Art nouveau architecture","artnouveauarchit00rizz","https://archive.org/details/artnouveauarchit00rizz","texts","92","Russell Frank","[Place of publication not identified] : St Martin'S Press","338"
"literature","Albert Camus","Lyrical and critical essays","lyricalcriticale00camu","https://archive.org/details/lyricalcriticale00camu","texts","92","Camus, Albert, 1913-1960, Thody, Philip Malcolm Waller, 1928- ed","New York : Vintage Books","392"
"literature","Albert Camus","Die Pest : Roman","diepestroman00camu","https://archive.org/details/diepestroman00camu","texts","92","Camus, Albert","Hamburg : Rowohlt","264"
"literature","Henry Miller","Gospel Messenger, The (1895)","gospelmessenger133152mill","https://archive.org/details/gospelmessenger133152mill","texts","92","Miller, D.L. (Daniel Long), 1841-1921; Moore, J.H. (John Henry), 1846-1935; Brumbaugh, H.B. (Henry Boyer), 1936-1919","Mount Morris, Ill : Brethren Publishing Co.","862"
"literature","Charles Bukowski","Hollywood : a novel","hollywoodnovel00buko","https://archive.org/details/hollywoodnovel00buko","texts","92","Bukowski, Charles","Santa Rosa : Black Sparrow Press","252"
"literature","Charles Bukowski","Factotum","factotum00buko","https://archive.org/details/factotum00buko","texts","92","Bukowski, Charles","Los Angeles : Black Sparrow Press","224"
"literature","William S. Burroughs","Alaska","alaskaexp03harruoft","https://archive.org/details/alaskaexp03harruoft","texts","92","Harriman Alaska Expedition (1899), Washington Academy of Sciences (Washington, D.C.), Smithsonian Institution, Harriman, Edward Henry, 1848-1909, Merriam, C. Hart (Clinton Hart), 1855-1942, Burroughs, John, 1837-1921, Muir, John, 1838-1914, Grinnell, George Bird, 1849-1938, Dall, William Healey, 1845-1927, Gilbert, Grove Karl, 1843-1918, Emerson, Benjamin Kendall, b. 1843, Cardot, Jules, b. 1860, Ashmead, William H. (William Harris), 1855-1908, Rathbun, Mary Jane, 1860-1943, Coe, Wesley Roswell, 1869-1960, Robertson, A, Eisen, G, Bush, Katharine J. (Katharine Jeannette), b. 1855, Nutting, Charles Cleveland, 1858-1927, Verrill, A. E. (Addison Emery), 1839-1926, Curtis, Edward S., 1868-1952","New York : Doubleday, Page","326"
"literature","Marquis de Sade","Neue Forschungen über den Marquis de Sade und seine Zeit; mit besonderer Berücksichtigung der Sexualphilosophie de Sade's auf Grund des neuentdeckten Original-Manuskriptes seines Hauptwerkes ""Die 120 Tage von Sodom"" Von Eugen Dühren [pseud.]","neueforschungen00blocgoog","https://archive.org/details/neueforschungen00blocgoog","texts","92","Bloch, Iwan, 1872-1922","Berlin, Harrwitz","533"
"visual_art_and_artists","Henry Darger","Henry Darger, throwaway boy : the tragic life of an outsider artist","henrydargerthrow0000elle","https://archive.org/details/henrydargerthrow0000elle","texts","91","Elledge, Jim, 1950-","New York : Overlook Duckworth","426"
"visual_art_and_artists","Frank Lloyd Wright","Walter Deane correspondence. 1854-1929 (inclusive), 1884-1929 (bulk)","WalterDeanecorr00DeanI","https://archive.org/details/WalterDeanecorr00DeanI","texts","91","Deane, Walter,1848-1930,adressee, Williams, R. S. (Robert Statham), ,1859-1945,correspondent, Thayer, John Eliot, ,1862-1933,correspondent, Tatnall, Edward,-1898,correspondent, Terry, Emily Hitchcock,1838-1921,correspondent, Thaxter, Roland,1858-1932,correspondent, Thayer, Evelyn,correspondent, Townsend, Charles Wendell,1859-1934,correspondent, Underwood, Lucien Marcus,1853-1907,correspondent, Vasey, George,1822-1893,correspondent, Ward, Lester Frank,1841-1913,correspondent, Ware, Robert Allison,correspondent, Weatherby, Charles Alfred,1875-1949,correspondent, Wiegand, Karl M.(Karl McKay),1873-1942,correspondent, Williams, Emile Francis,1858-1929,correspondent, Wood, Casey A.(Casey Albert),1856-1942,correspondent, Woodhouse, S. W.(Samuel Washington),1821-1904,correspondent","","541"
"visual_art_and_artists","Frank Lloyd Wright","A philosophical approach to the architecture of Frank Lloyd Wright","philosophicalapp00shen","https://archive.org/details/philosophicalapp00shen","texts","91","Sheng, Sheng-Pao","Florida Southern College","238"
